21 20
5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7
8 1 1 1 1 1 3 1 4 1 1 1 1 1 4 1 1 1 1 1 9
8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 3 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 9
8 2 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 9
8 1 1 1 1 1 3 1 4 1 1 1 1 1 4 1 1 1 1 1 9
8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 9
8 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 3 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 9
8 2 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 9
8 1 1 1 1 1 3 1 4 1 1 1 1 1 4 1 1 1 1 1 9
8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9
8 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 9
8 3 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 9
8 2 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 9
10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12
